song,performer,instance,chart_date,time_on_chart,song_length_ms,song_length_mins
Beautiful,Christina Aguilera,1.0,2011-07-16,1,238560,3.976
Inventing Shadows,Dia Frampton,1.0,2011-07-16,1,213040,3.550666666666667
Major Minus,Coldplay,1.0,2011-07-16,1,210324,3.5054
I Won't Back Down,Blake Shelton,1.0,2011-07-16,1,199493,3.324883333333333
Afraid To Sleep,Vicci Martinez,1.0,2011-07-16,1,200773,3.346216666666667
Little Bad Girl,David Guetta,1.0,2011-07-16,1,192275,3.2045833333333333
Stitch By Stitch,Javier Colon,1.0,2011-07-16,2,196320,3.272
High,Big Sean,1.0,2011-07-16,1,260453,4.340883333333333
I Wouldn't Be A Man,Josh Turner,1.0,2011-07-23,1,212693,3.5448833333333334
Taboo,Don Omar,1.0,2011-07-23,1,292160,4.8693333333333335
Walk,Foo Fighters,1.0,2011-07-23,13,255960,4.266
Novacane,Frank Ocean,1.0,2011-07-23,4,302346,5.0391
Smile,Avril Lavigne,1.0,2011-07-23,7,209520,3.492
Work Out,J. Cole,2.0,2011-07-23,28,235320,3.922
Mr. Saxobeat,Alexandra Stan,1.0,2011-07-30,20,195105,3.25175
Long Hot Summer,Keith Urban,1.0,2011-07-30,18,273586,4.5597666666666665
God Gave Me You,Blake Shelton,1.0,2011-07-30,25,229533,3.82555
What If,Colbie Caillat,1.0,2011-07-30,1,225120,3.752
Up All Night,Blink-182,1.0,2011-07-30,2,199706,3.3284333333333334
Skyscraper,Demi Lovato,1.0,2011-07-30,15,221293,3.6882166666666665
Booty Wurk (One Cheek At A Time),T-Pain,1.0,2011-07-30,7,235306,3.9217666666666666
You Make Me Feel...,Cobra Starship,1.0,2011-07-30,29,215693,3.594883333333333
Marvin & Chardonnay,Big Sean,1.0,2011-08-06,20,222866,3.7144333333333335
Marvins Room,Drake,2.0,2011-08-06,18,347226,5.7871
The Adventures Of Rain Dance Maggie,Red Hot Chili Peppers,1.0,2011-08-06,17,282400,4.706666666666667
Otis,Jay Z Kanye West,1.0,2011-08-06,20,178213,2.9702166666666665
Quickie,Miguel,1.0,2011-08-06,14,226360,3.772666666666667
Outlaw,50 Cent,1.0,2011-08-06,1,195906,3.2651
Oh My,DJ Drama,1.0,2011-08-06,3,263686,4.3947666666666665
One More Drinkin' Song,Jerrod Niemann,1.0,2011-08-13,18,167813,2.796883333333333
Cheers (Drink To That),Rihanna,1.0,2011-08-13,18,261746,4.362433333333334
Gucci Gucci,Kreayshawn,1.0,2011-08-13,10,187840,3.1306666666666665
Fish,Craig Campbell,1.0,2011-08-13,10,167680,2.7946666666666666
Faster,Matt Nathanson,1.0,2011-08-13,12,208280,3.4713333333333334
Rumour Has It,Adele,4.0,2011-08-13,27,223266,3.7211
Easy,Rascal Flatts,1.0,2011-08-13,23,218480,3.6413333333333333
Don't Stop The Party,The Black Eyed Peas,1.0,2011-08-13,4,367413,6.12355
In The Dark,Dev,1.0,2011-08-20,20,148930,2.4821666666666666
Far Away,Tyga,3.0,2011-08-20,7,207306,3.4551
Under And Over It,Five Finger Death Punch,1.0,2011-08-20,1,218133,3.63555
Till I'm Gone,Tinie Tempah,1.0,2011-08-20,4,213765,3.56275
Lights,Ellie Goulding,2.0,2011-08-20,57,244266,4.0711
Ships In The Night,Mat Kearney,1.0,2011-08-20,1,255893,4.264883333333334
What You Want,Evanescence,1.0,2011-08-27,1,221360,3.6893333333333334
Who Gon Stop Me,Jay Z Kanye West,1.0,2011-08-27,2,256706,4.278433333333333
Titanium,David Guetta,2.0,2011-08-27,33,245040,4.084
Baggage Claim,Miranda Lambert,1.0,2011-08-27,20,197546,3.2924333333333333
Nothing,The Script,1.0,2011-08-27,20,272213,4.536883333333333
Mrs. Right,Mindless Behavior,2.0,2011-08-27,10,248186,4.136433333333334
Headlines,Drake,1.0,2011-08-27,25,235986,3.9331
Ni**as in Paris,Jay Z Kanye West,1.0,2011-08-27,36,219333,3.65555
It Girl,Jason Derulo,1.0,2011-08-27,22,192200,3.203333333333333
Drunk On You,Luke Bryan,2.0,2011-08-27,24,213546,3.5591
We Don't Get Down Like Y'all,T.I.,1.0,2011-08-27,1,230853,3.84755
Don't Hold Your Breath,Nicole Scherzinger,1.0,2011-09-03,1,197440,3.2906666666666666
We Owned The Night,Lady Antebellum,1.0,2011-09-03,20,197800,3.296666666666667
Sail,AWOLNATION,2.0,2011-09-03,79,259093,4.318216666666666
She Will,Lil Wayne,1.0,2011-09-03,21,305840,5.097333333333333
Brighter Than The Sun,Colbie Caillat,1.0,2011-09-03,25,231213,3.85355
Frick Park Market,Mac Miller,1.0,2011-09-03,2,197559,3.29265
I Got You,Thompson Square,1.0,2011-09-03,18,183866,3.064433333333333
That Way,Wale,3.0,2011-09-10,18,269266,4.4877666666666665
Night Of Your Life,David Guetta,1.0,2011-09-10,1,221973,3.69955
Martians Vs Goblins,Game,1.0,2011-09-10,1,228826,3.8137666666666665
What The Water Gave Me,Florence + The Machine,1.0,2011-09-10,1,333466,5.557766666666667
I'm Gonna Love You Through It,Martina McBride,2.0,2011-09-10,20,227613,3.79355
Cost Of Livin',Ronnie Dunn,3.0,2011-09-10,8,250480,4.174666666666667
Love Don't Run,Steve Holy,1.0,2011-09-10,7,219266,3.6544333333333334
Hell On Heels,Pistol Annies,1.0,2011-09-10,3,194386,3.2397666666666667
Good Feeling,Flo Rida,2.0,2011-09-17,37,248133,4.13555
Without You,David Guetta,1.0,2011-09-17,30,208133,3.4688833333333333
MegaMan,Lil Wayne,1.0,2011-09-17,1,198280,3.304666666666667
My Body,Young The Giant,1.0,2011-09-17,1,244455,4.07425
Beautiful People,Chris Brown,1.0,2011-09-17,4,226773,3.77955
So Special,Lil Wayne,1.0,2011-09-17,1,232093,3.8682166666666666
It's Good,Lil Wayne,1.0,2011-09-17,1,241466,4.0244333333333335
Dancin' Away With My Heart,Lady Antebellum,2.0,2011-09-17,19,232973,3.8828833333333335
Turn Me On,David Guetta,2.0,2011-09-17,27,199680,3.328
Sexy And I Know It,LMFAO,1.0,2011-09-17,42,199480,3.324666666666667
Love On Top,Beyonce,2.0,2011-09-17,20,267413,4.456883333333334
How To Hate,Lil Wayne,1.0,2011-09-17,1,278520,4.642
Nightmares Of The Bottom,Lil Wayne,1.0,2011-09-17,1,281080,4.684666666666667
President Carter,Lil Wayne,1.0,2011-09-17,1,255373,4.256216666666667
Mirror,Lil Wayne,3.0,2011-09-17,17,228093,3.80155
Blunt Blowin,Lil Wayne,2.0,2011-09-17,6,312960,5.216
The Trouble With Girls,Scotty McCreery,3.0,2011-09-24,18,229573,3.826216666666667
Mr. Know It All,Kelly Clarkson,1.0,2011-09-24,23,232520,3.8753333333333333
Wanted You More,Lady Antebellum,2.0,2011-09-24,5,242080,4.034666666666666
All Your Life,The Band Perry,1.0,2011-09-24,23,231933,3.86555
Police Dog Blues,Hugh Laurie,1.0,2011-09-24,2,213013,3.5502166666666666
Wet The Bed,Chris Brown,1.0,2011-09-24,10,266306,4.438433333333333
Disaster,JoJo,1.0,2011-09-24,1,218813,3.6468833333333333
Got 2 Luv U,Sean Paul,1.0,2011-10-01,6,196640,3.2773333333333334
Body And Soul,Tony Bennett,1.0,2011-10-01,1,200586,3.3431
Let It Rain,David Nail,1.0,2011-10-01,20,222253,3.7042166666666665
Body 2 Body,Ace Hood,1.0,2011-10-01,13,235306,3.9217666666666666
You Don't Know Her Like I Do,Brantley Gilbert,2.0,2011-10-01,24,286520,4.775333333333333
Paradise,Coldplay,2.0,2011-10-01,32,278719,4.645316666666667
I Got Nothin',Darius Rucker,2.0,2011-10-01,10,204360,3.406
We Found Love,Rihanna,1.0,2011-10-08,41,215226,3.5871
It's Not Unusual,Glee Cast,1.0,2011-10-08,1,125266,2.0877666666666665
Drink In My Hand,Eric Church,1.0,2011-10-08,20,191306,3.1884333333333332
Tattoos On This Town,Jason Aldean,1.0,2011-10-08,20,202466,3.374433333333333
Unbroken,Demi Lovato,1.0,2011-10-08,1,198626,3.310433333333333
Y.U. Mad,Birdman,1.0,2011-10-08,1,187640,3.1273333333333335
We Got The Beat,Glee Cast,1.0,2011-10-08,1,152186,2.5364333333333335
You Can't Stop The Beat,Glee Cast,1.0,2011-10-08,1,223013,3.7168833333333335
Fix A Heart,Demi Lovato,1.0,2011-10-08,1,193040,3.2173333333333334
Keep Me In Mind,Zac Brown Band,1.0,2011-10-15,20,214106,3.568433333333333
After Midnight,Blink-182,1.0,2011-10-15,1,206866,3.447766666666667
When We Stand Together,Nickelback,1.0,2011-10-15,16,190786,3.1797666666666666
Somewhere,Glee Cast,1.0,2011-10-15,1,184653,3.07755
I Don't Want This Night To End,Luke Bryan,1.0,2011-10-15,23,219973,3.6662166666666667
It Will Rain,Bruno Mars,1.0,2011-10-15,29,257720,4.295333333333334
Fight For You,Jason Derulo,1.0,2011-10-15,1,242173,4.036216666666666
Strange Clouds,B.o.B,1.0,2011-10-15,20,226293,3.77155
Calling All The Monsters,China Anne McClain,2.0,2011-10-15,2,206506,3.4417666666666666
Dedication To My Ex (Miss That),Lloyd,1.0,2011-10-15,5,236146,3.935766666666667
5 O'Clock,T-Pain,1.0,2011-10-15,20,281280,4.688
I Like It Like That,Hot Chelle Rae,1.0,2011-10-22,20,188200,3.1366666666666667
Party,Beyonce,1.0,2011-10-22,18,245480,4.091333333333333
Dance (A$$),Big Sean,1.0,2011-10-22,24,220293,3.67155
Fix You,Glee Cast,1.0,2011-10-22,1,274906,4.581766666666667
Run The World (Girls),Glee Cast,1.0,2011-10-22,1,239160,3.986
I Like How It Feels,Enrique Iglesias,2.0,2011-10-22,3,219664,3.6610666666666667
Crawling Back To You,Daughtry,3.0,2011-10-22,10,225440,3.7573333333333334
Hangover,Taio Cruz,1.0,2011-10-22,1,244906,4.081766666666667
I'm Flexin',T.I.,1.0,2011-10-22,1,180426,3.0071
Domino,Jessie J,1.0,2011-10-29,29,231693,3.86155
Still Got It,Tyga,1.0,2011-10-29,1,224506,3.7417666666666665
Lost In Paradise,Evanescence,1.0,2011-10-29,1,282293,4.704883333333333
Make Me Proud,Drake,1.0,2011-10-29,20,219893,3.6648833333333335
Good Good Night,Roscoe Dash,2.0,2011-10-29,4,205053,3.41755
The One That Got Away,Katy Perry,1.0,2011-10-29,24,227333,3.788883333333333
Countdown,Beyonce,2.0,2011-10-29,15,212146,3.5357666666666665
"Young, Wild & Free",Snoop Dogg,1.0,2011-10-29,32,207333,3.45555
Criminal,Britney Spears,1.0,2011-10-29,6,225080,3.751333333333333
Heartbeat,The Fray,2.0,2011-10-29,18,220693,3.6782166666666667
Mistletoe,Justin Bieber,2.0,2011-11-05,10,182946,3.0491
You The Boss,Rick Ross,1.0,2011-11-05,17,280666,4.677766666666667
Focused,Wale,1.0,2011-11-05,1,212333,3.538883333333333
A Thousand Years,Christina Perri,1.0,2011-11-05,26,285120,4.752
You,Chris Young,1.0,2011-11-05,20,196373,3.272883333333333
Promise,Romeo Santos,1.0,2011-11-05,9,252253,4.2042166666666665
Bait A Hook,Justin Moore,2.0,2011-11-12,10,208493,3.4748833333333335
Lotus Flower Bomb,Wale,1.0,2011-11-12,20,213253,3.5542166666666666
Lonely Boy,The Black Keys,2.0,2011-11-12,20,193653,3.22755
Stronger (What Doesn't Kill You),Kelly Clarkson,3.0,2011-11-12,37,221946,3.6991
Storm Warning,Hunter Hayes,2.0,2011-11-12,12,239906,3.9984333333333333
Christmas Song (Chestnuts Roasting On An Open Fire),Justin Bieber,1.0,2011-11-12,1,215160,3.586
Red Solo Cup,Toby Keith,1.0,2011-11-12,20,223386,3.7231
Princess Of China,Coldplay,3.0,2011-11-12,12,239215,3.9869166666666667
Lessons In Love,Kaskade,1.0,2011-11-12,1,223280,3.7213333333333334
Shake It Out,Florence + The Machine,2.0,2011-11-12,20,277720,4.628666666666667
Sweat,Bow Wow,1.0,2011-11-12,1,292706,4.878433333333334
Ambition,Wale,1.0,2011-11-19,1,302546,5.042433333333333
First Of The Year (Equinox),Skrillex,2.0,2011-11-19,3,261517,4.358616666666666
Reality,Kenny Chesney,2.0,2011-11-19,20,210640,3.510666666666667
Party On Fifth Ave.,Mac Miller,2.0,2011-11-19,6,173516,2.8919333333333332
Blackout,Breathe Carolina,1.0,2011-11-19,20,210200,3.5033333333333334
Over You,Miranda Lambert,2.0,2011-11-19,20,253373,4.222883333333334
Last Friday Night,Glee Cast,1.0,2011-11-19,1,228066,3.8011
Drummer Boy,Justin Bieber,2.0,2011-11-19,2,225333,3.75555
All I Want For Christmas Is You (SuperFestive!),Justin Bieber Duet With Mariah Carey,1.0,2011-11-19,1,240333,4.00555
Smile Back,Mac Miller,1.0,2011-11-26,1,162008,2.7001333333333335
Uptown Girl,Glee Cast,1.0,2011-11-26,1,180706,3.0117666666666665
Ours,Taylor Swift,1.0,2011-11-26,20,235803,3.93005
If This Was A Movie,Taylor Swift,1.0,2011-11-26,2,237022,3.9503666666666666
You Da One,Rihanna,1.0,2011-11-26,20,200013,3.33355
Home,Dierks Bentley,1.0,2011-11-26,20,238413,3.97355
Superman,Taylor Swift,1.0,2011-11-26,1,274945,4.582416666666667
Run,Matt Nathanson,1.0,2011-11-26,1,249146,4.152433333333334
Footloose,Blake Shelton,1.0,2011-11-26,2,218493,3.64155
Come Home,Faith Hill,1.0,2011-11-26,1,338053,5.634216666666667
We'll Be Fine,Drake,1.0,2011-12-03,1,247946,4.132433333333333
Hate Sleeping Alone,Drake,1.0,2011-12-03,1,213000,3.55
Hit Me With Your Best Shot / One Way Or Another,Glee Cast,1.0,2011-12-03,1,151946,2.5324333333333335
Shot For Me,Drake,1.0,2011-12-03,1,224720,3.7453333333333334
Take Care,Drake,1.0,2011-12-03,34,277386,4.6231
Levels,Avicii,1.0,2011-12-03,20,199906,3.3317666666666668
Rumour Has It / Someone Like You,Glee Cast,1.0,2011-12-03,3,207946,3.4657666666666667
The Motto,Drake,1.0,2011-12-03,35,181573,3.0262166666666666
You And I / You And I,Glee Cast,1.0,2011-12-03,1,195533,3.2588833333333334
I Can't Go For That / You Make My Dreams,Glee Cast,1.0,2011-12-03,1,161320,2.6886666666666668
HYFR (Hell Ya F*****g Right),Drake,2.0,2011-12-03,20,206000,3.433333333333333
El Verdadero Amor Perdona,Mana,1.0,2011-12-10,1,238143,3.96905
Lullaby,Nickelback,1.0,2011-12-10,1,228106,3.8017666666666665
Strip,Chris Brown,2.0,2011-12-10,20,167813,2.796883333333333
Tonight Is The Night,Outasight,1.0,2011-12-10,20,190000,3.1666666666666665
Rack City,Tyga,1.0,2011-12-10,25,208440,3.474
Where Have You Been,Rihanna,2.0,2011-12-10,26,242680,4.044666666666667
T.H.E (The Hardest Ever),will.i.am,2.0,2011-12-10,8,287973,4.79955
Talk That Talk,Rihanna,2.0,2011-12-10,20,209600,3.493333333333333
Can't Get Enough,J. Cole,1.0,2011-12-17,20,225960,3.766
It's Beginning To Look A Lot Like Christmas,Michael Buble,1.0,2011-12-17,1,206639,3.443983333333333
Roman In Moscow,Nicki Minaj,1.0,2011-12-17,2,157546,2.625766666666667
I Kissed A Girl,Glee Cast,1.0,2011-12-17,1,179946,2.9991
Tongue Tied,Grouplove,2.0,2011-12-17,20,218013,3.63355
Constant Craving,Glee Cast,1.0,2011-12-17,1,278066,4.634433333333333
Camouflage,Brad Paisley,1.0,2011-12-17,9,266146,4.435766666666667
I'm The Only One,Glee Cast,1.0,2011-12-17,1,265920,4.432
Perfect,Glee Cast,1.0,2011-12-17,1,210613,3.5102166666666665
Girls Just Want To Have Fun,Glee Cast,1.0,2011-12-17,1,162093,2.70155
Alone With You,Jake Owen,1.0,2011-12-24,20,210973,3.5162166666666668
You Gonna Fly,Keith Urban,2.0,2011-12-24,18,216866,3.6144333333333334
Round Of Applause,Waka Flocka Flame,2.0,2011-12-24,8,266000,4.433333333333334
We Are Young,fun.,2.0,2011-12-24,42,250626,4.1771
ABC,Glee Cast,1.0,2011-12-24,1,174000,2.9
I'll Be Home For Christmas,Kelly Clarkson,1.0,2011-12-24,1,173400,2.89
Amen,Edens Edge,2.0,2011-12-24,6,228560,3.8093333333333335
We Are Young,Glee Cast,1.0,2011-12-24,3,249773,4.162883333333333
Bang Bang Pow Pow,T-Pain,1.0,2011-12-24,2,219773,3.6628833333333333
Man In The Mirror,Glee Cast,1.0,2011-12-24,1,246853,4.114216666666667
Red Solo Cup,Glee Cast,1.0,2011-12-24,1,221253,3.68755
Survivor / I Will Survive,Glee Cast,1.0,2011-12-24,1,208573,3.4762166666666667
A Woman Like You,Lee Brice,2.0,2011-12-31,20,209786,3.4964333333333335
Better Than I Used To Be,Tim McGraw,2.0,2011-12-31,20,201000,3.35
Do They Know It's Christmas?,Glee Cast,1.0,2011-12-31,1,205360,3.4226666666666667
Ass Back Home,Gym Class Heroes,1.0,2011-12-31,23,222213,3.70355
All I Want For Christmas Is You,Michael Buble,1.0,2011-12-31,1,174085,2.9014166666666665
Stupid Hoe,Nicki Minaj,2.0,2012-01-07,5,196893,3.28155
Wobble,V.I.C.,1.0,2012-01-07,2,321986,5.366433333333333
Scary Monsters And Nice Sprites,Skrillex,3.0,2012-01-07,14,243353,4.055883333333333
Knock Knock,Mac Miller,1.0,2012-01-07,1,197929,3.2988166666666667
I Do,Young Jeezy,1.0,2012-01-07,15,225306,3.7551
Better Than I Know Myself,Adam Lambert,1.0,2012-01-07,1,216173,3.602883333333333
Wild Ones,Flo Rida,2.0,2012-01-07,36,232946,3.882433333333333
Safe & Sound,Taylor Swift,2.0,2012-01-07,17,239668,3.994466666666667
The Champ,Nelly,1.0,2012-01-14,3,189000,3.15
Play The Guitar,B.o.B,1.0,2012-01-14,2,204064,3.4010666666666665
Gotta Have It,Jay Z Kanye West,1.0,2012-01-21,11,140746,2.3457666666666666
I Won't Give Up,Jason Mraz,1.0,2012-01-21,44,240165,4.00275
Set You Free,3OH!3,1.0,2012-01-21,1,204188,3.4031333333333333
Where I Come From,Montgomery Gentry,1.0,2012-01-21,15,201840,3.364
Kyoto,Skrillex,1.0,2012-01-21,4,200786,3.346433333333333
Somebody That I Used To Know,Gotye,1.0,2012-01-21,59,244973,4.082883333333333
Tattoo,Van Halen,1.0,2012-01-28,1,283040,4.717333333333333
Drive By,Train,1.0,2012-01-28,36,195973,3.2662166666666668
Called Out In The Dark,Snow Patrol,1.0,2012-01-28,1,241933,4.032216666666667
Wild Boy,MGK,1.0,2012-01-28,1,231373,3.8562166666666666
Video Games,Lana Del Rey,1.0,2012-01-28,1,281946,4.6991
Glad You Came,The Wanted,1.0,2012-01-28,37,197935,3.2989166666666665
Don't Stop (Color On The Walls),Foster The People,2.0,2012-01-28,9,174920,2.9153333333333333
Mr. Wrong,Mary J. Blige,2.0,2012-02-04,9,241866,4.0311
We Found Love,Glee Cast,1.0,2012-02-04,1,214960,3.582666666666667
Moves Like Jagger / Jumpin' Jack Flash,Glee Cast,1.0,2012-02-04,1,196066,3.2677666666666667
Love's Gonna Make It Alright,George Strait,1.0,2012-02-04,11,228893,3.8148833333333334
Faded,Tyga,1.0,2012-02-04,22,211413,3.52355
No Church In The Wild,Jay Z Kanye West,1.0,2012-02-04,5,272506,4.541766666666667
The First Time Ever I Saw Your Face,Glee Cast,1.0,2012-02-04,1,257413,4.290216666666667
Without You,Glee Cast,1.0,2012-02-04,1,210586,3.5097666666666667
Summer Nights,Glee Cast,1.0,2012-02-04,1,216053,3.6008833333333334
Drink On It,Blake Shelton,1.0,2012-02-11,19,211066,3.5177666666666667
Do It Like You,Diggy,2.0,2012-02-11,8,233493,3.89155
Sorry For Party Rocking,LMFAO,1.0,2012-02-11,11,203973,3.39955
Wanna Be Startin' Somethin',Glee Cast,1.0,2012-02-18,1,207466,3.4577666666666667
Human Nature,Glee Cast,1.0,2012-02-18,1,204853,3.4142166666666665
Bad,Glee Cast,1.0,2012-02-18,1,205266,3.4211
Smooth Criminal,Glee Cast,1.0,2012-02-18,2,213693,3.56155
Black Or White,Glee Cast,1.0,2012-02-18,1,196440,3.274
Give Me All Your Luvin',Madonna,2.0,2012-02-18,6,202760,3.3793333333333333
4 AM,Melanie Fiona,2.0,2012-02-18,8,290026,4.8337666666666665
Say Aah,Lindsey Pavao,1.0,2012-02-25,1,177866,2.9644333333333335
Feel So Close,Calvin Harris,1.0,2012-02-25,26,206413,3.4402166666666667
Ima Boss,Meek Mill,1.0,2012-02-25,2,250240,4.1706666666666665
Somethin' 'Bout A Truck,Kip Moore,1.0,2012-02-25,20,213826,3.5637666666666665
I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,2.0,2012-02-25,20,291293,4.854883333333333
Snitches Ain't...,YG,1.0,2012-02-25,1,220493,3.6748833333333333
La Isla Bonita,Glee Cast,1.0,2012-02-25,1,194586,3.2431
I Will Always Love You,Whitney Houston,2.0,2012-02-25,29,271093,4.5182166666666665
Drank In My Cup,Kirko Bangz,1.0,2012-02-25,22,232160,3.8693333333333335
Sexy And I Know It,Glee Cast,1.0,2012-02-25,1,197853,3.29755
Greatest Love Of All,Whitney Houston,2.0,2012-02-25,20,291400,4.8566666666666665
Part Of Me,Katy Perry,1.0,2012-03-03,22,216160,3.6026666666666665
I Will Always Love You,Glee Cast,1.0,2012-03-03,1,268000,4.466666666666667
Stereo Hearts,Glee Cast,1.0,2012-03-03,1,211800,3.53
What Makes You Beautiful,One Direction,1.0,2012-03-03,34,199986,3.3331
Starships,Nicki Minaj,1.0,2012-03-03,31,210626,3.5104333333333333
Raise Your Weapon,deadmau5,1.0,2012-03-03,1,502909,8.381816666666667
Turn Up The Music,Chris Brown,1.0,2012-03-03,20,227973,3.79955
I Can Only Imagine,David Guetta,2.0,2012-03-03,14,209533,3.4922166666666667
Bangarang,Skrillex,3.0,2012-03-03,20,215253,3.58755
Banjo,Rascal Flatts,1.0,2012-03-03,17,256133,4.268883333333333
How Will I Know,Whitney Houston,2.0,2012-03-03,24,275533,4.592216666666666
Runaway Baby,Bruno Mars,1.0,2012-03-03,1,148448,2.4741333333333335
Some Nights,fun.,1.0,2012-03-10,56,277040,4.617333333333334
Cough Syrup,Glee Cast,1.0,2012-03-10,1,251280,4.188
Fly / I Believe I Can Fly,Glee Cast,1.0,2012-03-10,1,213026,3.5504333333333333
Glad You Came,Glee Cast,1.0,2012-03-10,1,194666,3.2444333333333333
So Good,B.o.B,1.0,2012-03-10,18,213253,3.5542166666666666
Call Me Maybe,Carly Rae Jepsen,1.0,2012-03-10,50,193400,3.223333333333333
What Doesn't Kill You (Stronger),Glee Cast,1.0,2012-03-10,1,221026,3.6837666666666666
Climax,Usher,1.0,2012-03-10,20,232906,3.8817666666666666
Birthday Cake,Rihanna,1.0,2012-03-10,20,78200,1.3033333333333332
Fly Over States,Jason Aldean,1.0,2012-03-10,20,218200,3.6366666666666667
Make It Nasty,Tyga,1.0,2012-03-10,2,188866,3.1477666666666666
Here's To Us,Glee Cast,1.0,2012-03-10,1,180960,3.016
Mutha***** Up,Tyga,1.0,2012-03-10,1,233680,3.8946666666666667
Good Girl,Carrie Underwood,1.0,2012-03-10,20,205560,3.426
Cough Syrup,Young The Giant,1.0,2012-03-10,3,249520,4.158666666666667
Thank You,Estelle,1.0,2012-03-17,1,252013,4.200216666666667
Roman Reloaded,Nicki Minaj,1.0,2012-03-17,1,245693,4.094883333333334
Magic,Future,1.0,2012-03-17,9,220733,3.6788833333333333
UP!,LoveRance,1.0,2012-03-17,20,257055,4.28425
Live My Life,Far*East Movement,1.0,2012-03-17,1,237106,3.951766666666667
Springsteen,Eric Church,1.0,2012-03-17,22,263386,4.389766666666667
Ayy Ladies,Travis Porter,1.0,2012-03-17,19,211293,3.52155
Brokenhearted,Karmin,1.0,2012-03-24,22,227146,3.7857666666666665
Shadow Days,John Mayer,2.0,2012-03-24,3,228173,3.8028833333333334
Midnight City,M83.,1.0,2012-03-24,20,241440,4.024
Sex Ain't Better Than Love,Trey Songz,1.0,2012-03-24,6,263933,4.398883333333333
No Hurry,Zac Brown Band,1.0,2012-03-24,16,226226,3.7704333333333335
Changed,Rascal Flatts,2.0,2012-03-31,8,262226,4.370433333333334
One Thing,One Direction,2.0,2012-03-31,20,197600,3.2933333333333334
Leave You Alone,Young Jeezy,1.0,2012-03-31,20,329186,5.486433333333333
Even If It Breaks Your Heart,Eli Young Band,1.0,2012-03-31,20,220520,3.675333333333333
Everybody Talks,Neon Trees,1.0,2012-03-31,39,177280,2.9546666666666668
TTYLXOX,Bella Thorne,1.0,2012-03-31,2,154773,2.57955
Eyes Open,Taylor Swift,1.0,2012-04-07,13,243264,4.0544
This Ole Boy,Craig Morgan,1.0,2012-04-07,9,263586,4.3931
Come Away To The Water,Maroon 5,1.0,2012-04-07,1,313306,5.2217666666666664
Too Close,Alex Clare,2.0,2012-04-07,44,256560,4.276
Crew Love,Drake,1.0,2012-04-07,20,208813,3.4802166666666667
We Run The Night,Havana Brown,2.0,2012-04-07,22,228200,3.8033333333333332
Bully,Shinedown,2.0,2012-04-07,2,242746,4.045766666666666
Time Is Love,Josh Turner,1.0,2012-04-14,25,200373,3.33955
Naked,Dev,1.0,2012-04-14,1,236933,3.9488833333333333
Boyfriend,Justin Bieber,1.0,2012-04-14,20,171333,2.85555
I Dont Really Care,Waka Flocka Flame,1.0,2012-04-14,1,235786,3.9297666666666666
Heart Attack,Trey Songz,2.0,2012-04-14,26,233146,3.8857666666666666
She Doesn't Mind,Sean Paul,1.0,2012-04-14,1,227786,3.7964333333333333
Got My Country On,Chris Cagle,1.0,2012-04-14,9,233786,3.8964333333333334
Back In Time,Pitbull,2.0,2012-04-14,20,207760,3.462666666666667
Ai Se Eu Te Pego,Michel Telo,2.0,2012-04-14,12,170893,2.8482166666666666
Love This Life,T.I.,1.0,2012-04-21,1,387000,6.45
Mercy,Kanye West,1.0,2012-04-21,32,329320,5.488666666666667
Right By My Side,Nicki Minaj,1.0,2012-04-21,15,265320,4.422
Is Anybody Out There?,K'Naan,1.0,2012-04-21,2,238746,3.9791
(Kissed You) Good Night,Gloriana,1.0,2012-04-21,20,232903,3.8817166666666667
Va Va Voom,Nicki Minaj,2.0,2012-04-21,20,183560,3.0593333333333335
Give Your Heart A Break,Demi Lovato,1.0,2012-04-21,32,205346,3.422433333333333
Take It To The Head,DJ Khaled,1.0,2012-04-21,20,267173,4.452883333333333
Little Talks,Of Monsters And Men,2.0,2012-04-21,48,266600,4.443333333333333
Another Round,Fat Joe,1.0,2012-04-21,6,288894,4.8149
Dance Again,Jennifer Lopez,1.0,2012-04-21,18,237266,3.9544333333333332
Beez In The Trap,Nicki Minaj,1.0,2012-04-21,20,268480,4.474666666666667
Feel Like A Rock Star,Kenny Chesney,1.0,2012-04-21,7,208240,3.470666666666667
Fine By Me,Andy Grammer,1.0,2012-04-21,10,172813,2.8802166666666666
Cashin' Out,Ca$h Out,1.0,2012-04-28,20,237000,3.95
Hungry Like The Wolf / Rio,Glee Cast,1.0,2012-04-28,1,183386,3.056433333333333
Think Like A Man,Jennifer Hudson,1.0,2012-04-28,2,241173,4.01955
Somebody That I Used To Know,Glee Cast,1.0,2012-04-28,2,246186,4.1031
Roxanne,Juliet Simms,1.0,2012-04-28,1,180813,3.01355
Same Damn Time,Future,3.0,2012-05-05,6,273000,4.55
Way Too Cold,Kanye West,1.0,2012-05-05,1,252000,4.2
Burn It Down,Linkin Park,1.0,2012-05-05,23,230253,3.83755
Eyes Wide Open,Gotye,1.0,2012-05-05,1,191253,3.18755
Tonight (Best You Ever Had),John Legend,2.0,2012-05-05,12,239453,3.990883333333333
Loud,Mac Miller,1.0,2012-05-05,2,170861,2.8476833333333333
Beers Ago,Toby Keith,1.0,2012-05-05,15,206640,3.444
Payphone,Maroon 5,1.0,2012-05-05,31,231386,3.8564333333333334
Sweet Love,Chris Brown,1.0,2012-05-05,1,200000,3.3333333333333335
